Studiesector;Studieniveau;Aantal;Percentage
Lerarenopleidingen;HBO-bachelor;10163;21.02791169
Kunstonderwijs;HBO-bachelor;3583;7.41346134
Talen;HBO-bachelor;267;0.552440463
Sociale wetenschappen;HBO-bachelor;3238;6.699633775
Bedrijfskunde;HBO-bachelor;12825;26.5357638
Rechten;HBO-bachelor;1321;2.733235398
Natuurwetenschappen;HBO-bachelor;70;0.144834578
Biowetenschappen;HBO-bachelor;135;0.279323829
Wiskunde;HBO-bachelor;70;0.144834578
Informatica;HBO-bachelor;3200;6.62100929
Techniek;HBO-bachelor;2347;4.856096501
Industrie;HBO-bachelor;395;0.817280834
Architectuur;HBO-bachelor;2175;4.500217252
Landbouw;HBO-bachelor;705;1.458691109
Gezondheidszorg;HBO-bachelor;7710;15.95249426
Milieubescherming;HBO-bachelor;127;0.262771306
Lerarenopleidingen;WO-bachelor;1026;3.304880013
Kunstonderwijs;WO-bachelor;850;2.737961024
Talen;WO-bachelor;2949;9.499114189
Sociale wetenschappen;WO-bachelor;7217;23.24689966
Bedrijfskunde;WO-bachelor;6282;20.23514254
Rechten;WO-bachelor;3112;10.02415848
Natuurwetenschappen;WO-bachelor;76;0.244805927
Biowetenschappen;WO-bachelor;859;2.7669512
Wiskunde;WO-bachelor;183;0.589466903
Informatica;WO-bachelor;602;1.939120631
Techniek;WO-bachelor;1492;4.80592688
Industrie;WO-bachelor;104;0.334997584
Architectuur;WO-bachelor;947;3.050410694
Landbouw;WO-bachelor;171;0.550813335
Gezondheidszorg;WO-bachelor;4958;15.9703656
Milieubescherming;WO-bachelor;217;0.698985344
Lerarenopleidingen;WO-master;1626;4.955504084
Kunstonderwijs;WO-master;1125;3.428623674
Talen;WO-master;2446;7.454589784
Sociale wetenschappen;WO-master;6910;21.05936852
Bedrijfskunde;WO-master;8895;27.10898452
Rechten;WO-master;3756;11.44703157
Natuurwetenschappen;WO-master;31;0.09447763
Biowetenschappen;WO-master;569;1.734121663
Wiskunde;WO-master;233;0.710106059
Informatica;WO-master;1087;3.312812386
Techniek;WO-master;1513;4.611117884
Industrie;WO-master;245;0.746678045
Architectuur;WO-master;1350;4.114348409
Landbouw;WO-master;379;1.15506522
Gezondheidszorg;WO-master;2254;6.86943801
Milieubescherming;WO-master;393;1.197732537
