Studiesector;Studieniveau;Aantal
Lerarenopleidingen;HBO-bachelor;10163
Kunstonderwijs;HBO-bachelor;3583
Talen;HBO-bachelor;267
Sociale wetenschappen;HBO-bachelor;3238
Bedrijfskunde;HBO-bachelor;12825
Rechten;HBO-bachelor;1321
Natuurwetenschappen;HBO-bachelor;70
Biowetenschappen;HBO-bachelor;135
Wiskunde;HBO-bachelor;70
Informatica;HBO-bachelor;3200
Techniek;HBO-bachelor;2347
Industrie;HBO-bachelor;395
Architectuur;HBO-bachelor;2175
Landbouw;HBO-bachelor;705
Gezondheidszorg;HBO-bachelor;7710
Vervoerswetenschappen;HBO-bachelor;762
Milieubescherming;HBO-bachelor;127
Veiligheid;HBO-bachelor;435
Lerarenopleidingen;WO-bachelor;1626
Kunstonderwijs;WO-bachelor;1125
Talen;WO-bachelor;2446
Sociale wetenschappen;WO-bachelor;6910
Bedrijfskunde;WO-bachelor;8895
Rechten;WO-bachelor;3756
Natuurwetenschappen;WO-bachelor;31
Biowetenschappen;WO-bachelor;569
Wiskunde;WO-bachelor;233
Informatica;WO-bachelor;1087
Techniek;WO-bachelor;1513
Industrie;WO-bachelor;245
Architectuur;WO-bachelor;1350
Landbouw;WO-bachelor;379
Gezondheidszorg;WO-bachelor;2254
Vervoerswetenschappen;WO-bachelor;362
Milieubescherming;WO-bachelor;393
Veiligheid;WO-bachelor;62
