Studiesector;Studieniveau;Aantal
Lerarenopleidingen;WO-bachelor;1026
Kunstonderwijs;WO-bachelor;850
Talen;WO-bachelor;2949
Sociale wetenschappen;WO-bachelor;7217
Bedrijfskunde;WO-bachelor;6282
Rechten;WO-bachelor;3112
Natuurwetenschappen;WO-bachelor;76
Biowetenschappen;WO-bachelor;859
Fysische wetenschappen;WO-bachelor;640
Wiskunde;WO-bachelor;183
Informatica;WO-bachelor;602
Techniek;WO-bachelor;1492
Industrie;WO-bachelor;104
Architectuur;WO-bachelor;947
Landbouw;WO-bachelor;171
Gezondheidszorg;WO-bachelor;4958
Persoonlijke dienstverlening;WO-bachelor;47
Milieubescherming;WO-bachelor;217
Lerarenopleidingen;WO-master;1626
Kunstonderwijs;WO-master;1125
Talen;WO-master;2446
Sociale wetenschappen;WO-master;6910
Bedrijfskunde;WO-master;8895
Rechten;WO-master;3756
Natuurwetenschappen;WO-master;31
Biowetenschappen;WO-master;569
Fysische wetenschappen;WO-master;892
Wiskunde;WO-master;233
Informatica;WO-master;1087
Techniek;WO-master;1513
Industrie;WO-master;245
Architectuur;WO-master;1350
Landbouw;WO-master;379
Gezondheidszorg;WO-master;2254
Persoonlijke dienstverlening;WO-master;43
Milieubescherming;WO-master;393
