Studiesector;Studieniveau;Aantal
Lerarenopleidingen;HBO-bachelor;10163
Kunstonderwijs;HBO-bachelor;3583
Talen;HBO-bachelor;267
Sociale wetenschappen;HBO-bachelor;3238
Bedrijfskunde;HBO-bachelor;12825
Rechten;HBO-bachelor;1321
Natuurwetenschappen;HBO-bachelor;70
Biowetenschappen;HBO-bachelor;135
Wiskunde;HBO-bachelor;70
Informatica;HBO-bachelor;3200
Techniek;HBO-bachelor;2347
Industrie;HBO-bachelor;395
Architectuur;HBO-bachelor;2175
Landbouw;HBO-bachelor;705
Gezondheidszorg;HBO-bachelor;7710
Persoonlijke dienstverlening;HBO-bachelor;4614
Milieubescherming;HBO-bachelor;127
Lerarenopleidingen;WO-bachelor;1026
Kunstonderwijs;WO-bachelor;850
Talen;WO-bachelor;2949
Sociale wetenschappen;WO-bachelor;7217
Bedrijfskunde;WO-bachelor;6282
Rechten;WO-bachelor;3112
Natuurwetenschappen;WO-bachelor;76
Biowetenschappen;WO-bachelor;859
Wiskunde;WO-bachelor;183
Informatica;WO-bachelor;602
Techniek;WO-bachelor;1492
Industrie;WO-bachelor;104
Architectuur;WO-bachelor;947
Landbouw;WO-bachelor;171
Gezondheidszorg;WO-bachelor;4958
Persoonlijke dienstverlening;WO-bachelor;47
Milieubescherming;WO-bachelor;217
