Studiesector;Studieniveau;Aantal
Lerarenopleidingen;HBO-bachelor;71427
Kunstonderwijs;HBO-bachelor;23097
Talen;HBO-bachelor;2388
Sociale wetenschappen;HBO-bachelor;23110
Bedrijfskunde;HBO-bachelor;107822
Rechten;HBO-bachelor;12117
Natuurwetenschappen;HBO-bachelor;676
Biowetenschappen;HBO-bachelor;1333
Wiskunde;HBO-bachelor;722
Informatica;HBO-bachelor;27378
Techniek;HBO-bachelor;19453
Industrie;HBO-bachelor;2731
Architectuur;HBO-bachelor;12745
Landbouw;HBO-bachelor;4242
Gezondheidszorg;HBO-bachelor;49520
Persoonlijke dienstverlening;HBO-bachelor;31887
Vervoerswetenschappen;HBO-bachelor;6910
Milieubescherming;HBO-bachelor;933
Veiligheid;HBO-bachelor;3930
Lerarenopleidingen;WO-bachelor;9429
Kunstonderwijs;WO-bachelor;6991
Talen;WO-bachelor;21976
Sociale wetenschappen;WO-bachelor;46946
Bedrijfskunde;WO-bachelor;47206
Rechten;WO-bachelor;24900
Natuurwetenschappen;WO-bachelor;496
Biowetenschappen;WO-bachelor;6181
Wiskunde;WO-bachelor;1833
Informatica;WO-bachelor;8291
Techniek;WO-bachelor;15487
Industrie;WO-bachelor;1498
Architectuur;WO-bachelor;8738
Landbouw;WO-bachelor;1983
Gezondheidszorg;WO-bachelor;38126
Persoonlijke dienstverlening;WO-bachelor;324
Vervoerswetenschappen;WO-bachelor;592
Milieubescherming;WO-bachelor;2364
Veiligheid;WO-bachelor;192
