Studiesector;Bedrijfssector;Aantal;Percentage
Agrarisch en milieu;Financiele instellingen;10;2.857142857
Agrarisch en milieu;Gezondheids- en welzijnszorg;10;2.857142857
Agrarisch en milieu;Horeca;0;0
Agrarisch en milieu;Landbouw, bosbouw, visserij;10;2.857142857
Agrarisch en milieu;Milieu, cultuur, recreatie en overige dienstverlening;20;5.714285714
Agrarisch en milieu;Nijverheid en energievoorziening;30;8.571428571
Agrarisch en milieu;Onderwijs;50;14.28571429
Agrarisch en milieu;Openbaar bestuur, overheidsdiensten;60;17.14285714
Agrarisch en milieu;Reparatie van consumentenartikelen;20;5.714285714
Agrarisch en milieu;Uitzendbureaus en uitleenbedrijven;20;5.714285714
Agrarisch en milieu;Vervoer, opslag en communicatie;0;0
Agrarisch en milieu;Zakelijke dienstverlening;120;34.28571429
Economie, commercieel, management en administratie;Financiele instellingen;720;17.34939759
Economie, commercieel, management en administratie;Gezondheids- en welzijnszorg;70;1.686746988
Economie, commercieel, management en administratie;Horeca;20;0.481927711
Economie, commercieel, management en administratie;Landbouw, bosbouw, visserij;10;0.240963855
Economie, commercieel, management en administratie;Milieu, cultuur, recreatie en overige dienstverlening;80;1.927710843
Economie, commercieel, management en administratie;Nijverheid en energievoorziening;430;10.36144578
Economie, commercieel, management en administratie;Onderwijs;130;3.13253012
Economie, commercieel, management en administratie;Openbaar bestuur, overheidsdiensten;210;5.060240964
Economie, commercieel, management en administratie;Reparatie van consumentenartikelen;370;8.915662651
Economie, commercieel, management en administratie;Uitzendbureaus en uitleenbedrijven;190;4.578313253
Economie, commercieel, management en administratie;Vervoer, opslag en communicatie;200;4.819277108
Economie, commercieel, management en administratie;Zakelijke dienstverlening;1720;41.44578313
Gezondheidszorg, sociale dienstverlening en verzorging;Financiele instellingen;20;2.631578947
Gezondheidszorg, sociale dienstverlening en verzorging;Gezondheids- en welzijnszorg;330;43.42105263
Gezondheidszorg, sociale dienstverlening en verzorging;Horeca;0;0
Gezondheidszorg, sociale dienstverlening en verzorging;Landbouw, bosbouw, visserij;0;0
Gezondheidszorg, sociale dienstverlening en verzorging;Milieu, cultuur, recreatie en overige dienstverlening;30;3.947368421
Gezondheidszorg, sociale dienstverlening en verzorging;Nijverheid en energievoorziening;30;3.947368421
Gezondheidszorg, sociale dienstverlening en verzorging;Onderwijs;120;15.78947368
Gezondheidszorg, sociale dienstverlening en verzorging;Openbaar bestuur, overheidsdiensten;30;3.947368421
Gezondheidszorg, sociale dienstverlening en verzorging;Reparatie van consumentenartikelen;40;5.263157895
Gezondheidszorg, sociale dienstverlening en verzorging;Uitzendbureaus en uitleenbedrijven;40;5.263157895
